catalyst_name,support,promoter,temperature_c,pressure_bar,ghsv,h2_co2_ratio,conversion_pct,selectivity_pct,yield_pct,productivity,stability_text,patent_number,evidence,original_row_index,data_quality_score
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,11.8,,,4(2).pdf,Catalyst performance table,15,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,11.9,,,4(2).pdf,Catalyst performance table,16,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,12.8,,,4(2).pdf,Catalyst performance table,17,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,10.8,,,4(2).pdf,Catalyst performance table,18,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 15% Zn / 10% Zr / 10% Ce / 5% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,10.3,,,4(2).pdf,Catalyst performance table,19,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 15% Zn / 10% Zr / 10% Ce / 5% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,10.5,,,4(2).pdf,Catalyst performance table,20,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 15% Zn / 10% Zr / 10% Ce / 5% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,10.4,,,4(2).pdf,Catalyst performance table,21,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 15% Zn / 10% Zr / 10% Ce / 5% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,8.8,,,4(2).pdf,Catalyst performance table,22,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 15% Zn / 10% Zr / 5% Ce / 10% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,10.3,,,4(2).pdf,Catalyst performance table,23,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 15% Zn / 10% Zr / 5% Ce / 10% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,10.4,,,4(2).pdf,Catalyst performance table,24,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 15% Zn / 10% Zr / 5% Ce / 10% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,9.9,,,4(2).pdf,Catalyst performance table,25,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (60% Cu / 15% Zn / 10% Zr / 5% Ce / 10% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,8.3,,,4(2).pdf,Catalyst performance table,26,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (65% Cu / 20% Zn / 5% Zr / 5% Ce / 5% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,10.9,,,4(2).pdf,Catalyst performance table,27,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (65% Cu / 20% Zn / 5% Zr / 5% Ce / 5% Y),,Y with Zr and Ce,240.0,40.0,,3.0,,,11.3,,,4(2).pdf,Catalyst performance table,28,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (65% Cu / 20% Zn / 5% Zr / 5% Ce / 5% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,11.5,,,4(2).pdf,Catalyst performance table,29,0.6
Copper-zinc-zirconium-cerium-yttrium mixed oxide (65% Cu / 20% Zn / 5% Zr / 5% Ce / 5% Y),,Y with Zr and Ce,220.0,40.0,,3.0,,,9.9,,,4(2).pdf,Catalyst performance table,30,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% La),,La with Zr and Ce,240.0,40.0,,3.0,,,10.4,,,4(2).pdf,Catalyst performance table,31,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% La),,La with Zr and Ce,240.0,40.0,,3.0,,,10.7,,,4(2).pdf,Catalyst performance table,32,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% La),,La with Zr and Ce,220.0,40.0,,3.0,,,9.6,,,4(2).pdf,Catalyst performance table,33,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% La),,La with Zr and Ce,220.0,40.0,,3.0,,,8.2,,,4(2).pdf,Catalyst performance table,34,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (60% Cu / 10% Zn / 10% Zr / 10% Ce / 10% La),,La with Zr and Ce,240.0,40.0,,3.0,,,10.8,,,4(2).pdf,Catalyst performance table,35,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (60% Cu / 10% Zn / 10% Zr / 10% Ce / 10% La),,La with Zr and Ce,240.0,40.0,,3.0,,,11.2,,,4(2).pdf,Catalyst performance table,36,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (60% Cu / 10% Zn / 10% Zr / 10% Ce / 10% La),,La with Zr and Ce,220.0,40.0,,3.0,,,10.5,,,4(2).pdf,Catalyst performance table,37,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (60% Cu / 10% Zn / 10% Zr / 10% Ce / 10% La),,La with Zr and Ce,220.0,40.0,,3.0,,,9.0,,,4(2).pdf,Catalyst performance table,38,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (65% Cu / 20% Zn / 5% Zr / 5% Ce / 5% La),,La with Zr and Ce,240.0,40.0,,3.0,,,11.0,,,4(2).pdf,Catalyst performance table,39,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (65% Cu / 20% Zn / 5% Zr / 5% Ce / 5% La),,La with Zr and Ce,240.0,40.0,,3.0,,,11.1,,,4(2).pdf,Catalyst performance table,40,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (65% Cu / 20% Zn / 5% Zr / 5% Ce / 5% La),,La with Zr and Ce,220.0,40.0,,3.0,,,10.7,,,4(2).pdf,Catalyst performance table,41,0.6
Copper-zinc-zirconium-cerium-lanthanum mixed oxide (65% Cu / 20% Zn / 5% Zr / 5% Ce / 5% La),,La with Zr and Ce,220.0,40.0,,3.0,,,9.3,,,4(2).pdf,Catalyst performance table,42,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (55% Cu / 10% Zn / 15% Zr / 10% Ce / 10% Ba),,Ba with Zr and Ce,240.0,40.0,,3.0,,,10.6,,,4(2).pdf,Catalyst performance table,43,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (55% Cu / 10% Zn / 15% Zr / 10% Ce / 10% Ba),,Ba with Zr and Ce,240.0,40.0,,3.0,,,11.0,,,4(2).pdf,Catalyst performance table,44,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (55% Cu / 10% Zn / 15% Zr / 10% Ce / 10% Ba),,Ba with Zr and Ce,220.0,40.0,,3.0,,,10.0,,,4(2).pdf,Catalyst performance table,45,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (55% Cu / 10% Zn / 15% Zr / 10% Ce / 10% Ba),,Ba with Zr and Ce,220.0,40.0,,3.0,,,8.5,,,4(2).pdf,Catalyst performance table,46,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (60% Cu / 15% Zn / 10% Zr / 10% Ce / 5% Ba),,Ba with Zr and Ce,240.0,40.0,,3.0,,,10.5,,,4(2).pdf,Catalyst performance table,47,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (60% Cu / 15% Zn / 10% Zr / 10% Ce / 5% Ba),,Ba with Zr and Ce,240.0,40.0,,3.0,,,10.9,,,4(2).pdf,Catalyst performance table,48,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (60% Cu / 15% Zn / 10% Zr / 10% Ce / 5% Ba),,Ba with Zr and Ce,220.0,40.0,,3.0,,,10.5,,,4(2).pdf,Catalyst performance table,49,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (60% Cu / 15% Zn / 10% Zr / 10% Ce / 5% Ba),,Ba with Zr and Ce,220.0,40.0,,3.0,,,8.9,,,4(2).pdf,Catalyst performance table,50,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (60% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Ba),,Ba with Zr and Ce,240.0,40.0,,3.0,,,11.0,,,4(2).pdf,Catalyst performance table,51,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (60% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Ba),,Ba with Zr and Ce,240.0,40.0,,3.0,,,11.6,,,4(2).pdf,Catalyst performance table,52,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (60% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Ba),,Ba with Zr and Ce,220.0,40.0,,3.0,,,10.9,,,4(2).pdf,Catalyst performance table,53,0.6
Copper-zinc-zirconium-cerium-barium mixed oxide (60% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Ba),,Ba with Zr and Ce,220.0,40.0,,3.0,,,9.0,,,4(2).pdf,Catalyst performance table,54,0.6
Copper-zinc-zirconium-cerium-rubidium mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% Rb),,Rb with Zr and Ce,240.0,30.0,,3.0,,,10.1,,,4(2).pdf,Catalyst performance table,55,0.6
Copper-zinc-zirconium-cerium-rubidium mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% Rb),,Rb with Zr and Ce,220.0,30.0,,3.0,,,10.0,,,4(2).pdf,Catalyst performance table,56,0.6
Copper-zinc-zirconium-cerium-rubidium mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% Rb),,Rb with Zr and Ce,220.0,30.0,,3.0,,,9.8,,,4(2).pdf,Catalyst performance table,57,0.6
Copper-zinc-zirconium-cerium-terbium mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% Tb),,Tb with Zr and Ce,240.0,40.0,,3.0,15.5,29.0,11.0,,,4(2).pdf,Catalyst performance table,58,1.0
Copper-zinc-zirconium-cerium-terbium mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% Tb),,Tb with Zr and Ce,260.0,40.0,,3.0,21.7,58.7,12.8,,,4(2).pdf,Catalyst performance table,59,1.0
Copper-zinc-zirconium-cerium-terbium mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% Tb),,Tb with Zr and Ce,240.0,40.0,,3.0,21.0,55.0,11.0,,,4(2).pdf,Catalyst performance table,60,1.0
Copper-zinc-zirconium-cerium-strontium mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% Sr),,Sr with Zr and Ce,260.0,40.0,,3.0,30.0,56.0,16.8,,,4(2).pdf,Catalyst performance table,61,1.0
Copper-zinc-zirconium-cerium-strontium mixed oxide (45% Cu / 20% Zn / 15% Zr / 10% Ce / 10% Sr),,Sr with Zr and Ce,260.0,40.0,,3.0,32.0,55.0,17.7,,,4(2).pdf,Catalyst performance table,62,1.0
Copper-zinc-zirconium-cerium-yttrium-lanthanum mixed oxide (55% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Y / 5% La),,Y and La with Zr and Ce,240.0,40.0,,3.0,20.0,85.0,17.9,,,4(2).pdf,Catalyst performance table,63,1.0
Copper-zinc-zirconium-cerium-yttrium-lanthanum mixed oxide (55% Cu / 20% Zn / 10% Zr / 5% Ce / 5% Y / 5% La),,Y and La with Zr and Ce,260.0,40.0,,3.0,18.8,79.0,14.8,,,4(2).pdf,Catalyst performance table,64,1.0
Unsupported copper-zinc-zirconia powder,No support,,250.0,30.0,,3.0,,33.31,0.155,,51.0,5(3).pdf,Catalyst performance table,65,0.8
"Copper-zinc-zirconia on SBA-15 silica, 20% loading, Cu/ZnO = 2.5",SBA-15 mesoporous silica,,250.0,30.0,,3.0,,26.37,5.05,,31.0,5(3).pdf,Catalyst performance table,66,0.8
"Copper-zinc-zirconia on SBA-15 silica, 20% loading, Cu/ZnO = 1",SBA-15 mesoporous silica,,250.0,30.0,,3.0,,30.6,5.86,,46.0,5(3).pdf,Catalyst performance table,67,0.8
"Copper-zinc-zirconia on SBA-15 silica, 35% loading, Cu/ZnO = 2.5",SBA-15 mesoporous silica,,250.0,30.0,,3.0,,24.35,3.89,,27.0,5(3).pdf,Catalyst performance table,68,0.8
"Copper-zinc oxide on SBA-15 silica, 20% loading, Cu/ZnO = 1",SBA-15 mesoporous silica,,250.0,30.0,,3.0,,27.74,2.46,,68.0,5(3).pdf,Catalyst performance table,69,0.8
Copper-zinc-zirconia on SBA-15 silica without activation,SBA-15 mesoporous silica,,250.0,30.0,,3.0,,36.1,7.01,,46.0,5(3).pdf,Catalyst performance table,70,0.8
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,170.0,20.0,,2.0,,,,,,6(2).pdf,Reaction table,71,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,170.0,20.0,,2.0,,,,,,6(2).pdf,Reaction table,72,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,170.0,20.0,,2.0,,,2.0,,,6(2).pdf,Reaction table,73,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,170.0,20.0,,2.0,,,,,,6(2).pdf,Reaction table,74,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,170.0,20.0,,2.0,,,100.0,,,6(2).pdf,Reaction table,75,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,170.0,20.0,,2.0,,,76.0,,,6(2).pdf,Reaction table,76,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,150.0,20.0,,2.0,,,28.0,,,6(2).pdf,Reaction table,77,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,120.0,20.0,,2.0,,,19.0,,,6(2).pdf,Reaction table,78,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,170.0,20.0,,2.0,,,7.0,,,6(2).pdf,Reaction table,79,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,170.0,20.0,,2.0,,,18.0,,,6(2).pdf,Reaction table,80,0.6
Commercial copper-zinc-alumina methanol catalyst (Cu/ZnO/Al2O3),Alumina in commercial catalyst,,170.0,20.0,,2.0,,,21.0,,,6(2).pdf,Reaction table,81,0.6
Ruthenium triphenylphosphine complex,,,140.0,60.0,,,,,,,,6(2).pdf,Reaction table,82,0.6
Ruthenium PNP pincer catalyst with aromatic backbone,,,140.0,60.0,,,,,69.0,,,6(2).pdf,Reaction table,83,0.6
Ruthenium PNP pincer catalyst with aliphatic backbone,,,140.0,60.0,,,,,84.0,,,6(2).pdf,Reaction table,84,0.6
Ruthenium PNP pincer catalyst with aliphatic backbone,,,140.0,50.0,,,,,17.0,,,6(2).pdf,Reaction table,85,0.6
Ruthenium PNP pincer catalyst with aliphatic backbone,,,140.0,50.0,,,,,31.0,,,6(2).pdf,Reaction table,86,0.6
Ruthenium PNP pincer catalyst with aliphatic backbone plus PEI600,,,140.0,50.0,,,,,32.0,,,6(2).pdf,Reaction table,87,0.6
Ruthenium PNP pincer catalyst with aliphatic backbone plus PEI600,,,140.0,50.0,,,,,82.0,,,6(2).pdf,Reaction table,88,0.6
Ruthenium PNP pincer catalyst with aromatic backbone plus PEI600,,,140.0,50.0,,,,,10.0,,,6(2).pdf,Reaction table,89,0.6
Copper-based methanol catalyst mixed with carbon oxide conversion catalyst,,,245.0,75.0,,,72.0,,,,,7(3).pdf,Process example,90,0.8
Copper-based methanol catalyst mixed with carbon oxide conversion catalyst,,,,75.0,,,99.7,,,,,7(3).pdf,Process example,91,0.65
Copper-based methanol catalyst mixed with carbon oxide conversion catalyst,,,210.0,98.0,,,83.0,,,,,7(3).pdf,Process example,92,0.8
Copper-based methanol catalyst mixed with carbon oxide conversion catalyst,,,210.0,98.0,,,2.0,,,,,7(3).pdf,Process example,93,0.8
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,442.0,,3.0,89.9,87.6,,,,8(2).pdf,Catalyst performance table,94,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,442.0,,3.0,90.7,94.8,,,,8(2).pdf,Catalyst performance table,95,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,442.0,,3.0,88.5,97.2,,,,8(2).pdf,Catalyst performance table,96,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,442.0,,3.0,88.0,96.5,,,,8(2).pdf,Catalyst performance table,97,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,442.0,,3.0,86.1,94.1,,,,8(2).pdf,Catalyst performance table,98,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,442.0,,3.0,84.7,93.1,,,,8(2).pdf,Catalyst performance table,99,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,442.0,,3.0,61.3,81.7,,,,8(2).pdf,Catalyst performance table,100,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,442.0,,3.0,45.1,60.3,,,,8(2).pdf,Catalyst performance table,101,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,442.0,,3.0,31.8,57.2,,,,8(2).pdf,Catalyst performance table,102,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,260.0,331.0,,3.0,89.0,97.8,,,,8(2).pdf,Catalyst performance table,103,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,260.0,331.0,,3.0,86.5,97.4,,,,8(2).pdf,Catalyst performance table,104,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,260.0,331.0,,3.0,83.3,96.8,,,,8(2).pdf,Catalyst performance table,105,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,260.0,331.0,,3.0,74.8,96.0,,,,8(2).pdf,Catalyst performance table,106,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,260.0,331.0,,3.0,69.5,95.5,,,,8(2).pdf,Catalyst performance table,107,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,260.0,331.0,,3.0,61.0,93.7,,,,8(2).pdf,Catalyst performance table,108,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,260.0,331.0,,3.0,40.2,86.2,,,,8(2).pdf,Catalyst performance table,109,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,260.0,331.0,,3.0,33.2,76.1,,,,8(2).pdf,Catalyst performance table,110,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,260.0,331.0,,3.0,25.3,70.0,,,,8(2).pdf,Catalyst performance table,111,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,184.0,,3.0,37.3,91.0,,,,8(2).pdf,Catalyst performance table,112,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,184.0,,3.0,44.1,90.9,,,,8(2).pdf,Catalyst performance table,113,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,184.0,,3.0,47.1,87.8,,,,8(2).pdf,Catalyst performance table,114,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,184.0,,3.0,46.4,86.1,,,,8(2).pdf,Catalyst performance table,115,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,184.0,,3.0,47.0,84.8,,,,8(2).pdf,Catalyst performance table,116,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,184.0,,3.0,45.5,85.8,,,,8(2).pdf,Catalyst performance table,117,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,184.0,,3.0,37.1,77.3,,,,8(2).pdf,Catalyst performance table,118,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,184.0,,3.0,32.8,66.3,,,,8(2).pdf,Catalyst performance table,119,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,184.0,,3.0,26.6,63.7,,,,8(2).pdf,Catalyst performance table,120,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,92.0,,3.0,32.3,13.0,,,,8(2).pdf,Catalyst performance table,121,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,92.0,,3.0,33.2,71.8,,,,8(2).pdf,Catalyst performance table,122,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,92.0,,3.0,32.9,73.3,,,,8(2).pdf,Catalyst performance table,123,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,92.0,,3.0,32.6,69.7,,,,8(2).pdf,Catalyst performance table,124,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,92.0,,3.0,30.9,64.9,,,,8(2).pdf,Catalyst performance table,125,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,92.0,,3.0,30.0,54.9,,,,8(2).pdf,Catalyst performance table,126,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,92.0,,3.0,28.6,53.6,,,,8(2).pdf,Catalyst performance table,127,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,92.0,,3.0,25.9,51.2,,,,8(2).pdf,Catalyst performance table,128,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,92.0,,3.0,22.4,47.7,,,,8(2).pdf,Catalyst performance table,129,1.0
Commercial copper-zinc-alumina methanol catalyst (CuO/ZnO/Al2O3/MgO),Alumina in commercial catalyst,MgO,280.0,46.0,,3.0,21.4,6.4,,,,8(2).pdf,Catalyst performance table,130,1.0
